House_ID,Neighborhood,Monthly_Rent_EGP,Bedrooms,Has_Workspace,Allows_Pets,Quietness_Score,Natural_Light_Index,Soundproofing_Score,Greenery_Proximity,Air_Quality_Index,Walkability_Score,Wheelchair_Accessible,Elevator_Access,Smart_Home_Ready,Medical_Proximity_Score
220,New Capital,49638,4,1,0,4,8,8,8,4,8,1,1,0,5
221,Helwan,10908,1,0,1,3,6,9,3,10,6,0,1,0,8
222,Maadi,14844,1,1,1,4,8,7,10,9,10,1,1,0,8
223,Zamalek,41629,3,1,0,5,5,10,8,4,8,1,0,0,4
224,Shoubra,6911,3,1,0,10,3,7,2,8,6,0,1,0,6
225,El Shorouk,12991,1,0,0,3,5,5,9,4,9,1,0,1,9
226,Nasr City,15572,3,1,0,7,5,7,6,7,3,1,0,0,4
227,Nasr City,47066,5,1,1,6,7,3,10,8,7,0,1,0,8
228,6th of October,33693,4,1,0,7,9,9,4,10,9,0,0,0,9
229,6th of October,44004,5,1,0,6,8,7,4,6,8,0,0,1,5
230,New Cairo,42333,5,1,0,7,8,5,8,5,5,0,1,0,7
231,Faisal,21493,1,1,1,5,8,8,5,5,2,0,1,0,4
232,Shoubra,43697,1,1,0,9,8,9,6,8,4,0,1,0,6
233,Shoubra,21634,5,0,1,10,9,4,10,7,6,0,0,0,4
234,New Cairo,28561,5,0,0,8,3,4,7,5,7,0,1,1,6
235,New Capital,22033,2,1,0,2,5,4,8,6,4,1,1,1,4
236,Zamalek,11351,2,0,0,6,7,4,8,10,3,1,0,0,9
237,New Capital,29921,4,1,1,8,7,3,10,4,4,1,1,0,6
238,Al Rehab,23340,5,1,0,6,5,6,10,9,6,1,1,0,5
239,Helwan,18901,3,1,0,6,5,7,3,6,4,0,1,0,9
240,Mohandeseen,14638,2,1,0,6,4,2,3,8,9,0,0,1,10
241,Sheikh Zayed,42596,1,1,0,6,3,7,7,9,8,1,1,1,7
242,Heliopolis,25378,5,0,1,6,7,8,6,7,10,1,1,0,9
243,Mohandeseen,48324,3,1,1,2,10,3,10,7,4,0,1,0,5
244,New Capital,26820,3,0,1,7,3,2,9,3,9,1,1,0,4
245,New Cairo,29060,3,1,0,7,8,8,9,7,10,1,1,0,7
246,Shoubra,36642,1,1,0,9,7,7,3,9,9,0,0,0,6
247,New Cairo,29378,2,0,1,6,6,4,7,9,6,1,1,1,5
248,Haram,12150,3,0,1,3,6,3,1,7,7,1,0,0,7
249,Mokattam,46875,2,1,0,8,7,3,5,10,10,0,1,0,10
250,Haram,28059,4,1,0,2,4,3,7,9,3,1,0,0,4
251,Maadi,38525,1,1,1,6,10,9,1,8,10,0,0,0,7
252,New Cairo,22193,2,1,0,6,10,2,10,6,2,0,1,0,9
253,Shoubra,47967,2,1,0,4,6,4,4,6,7,0,1,0,8
254,6th of October,31801,3,1,0,3,9,9,2,10,2,0,1,0,6
255,Sheikh Zayed,30246,3,0,1,5,8,7,8,7,2,1,1,0,6
256,Zamalek,16807,1,1,0,8,8,8,1,10,4,0,1,0,7
257,Sheikh Zayed,21535,2,1,0,4,9,3,9,9,5,1,1,0,5
258,Zamalek,9492,5,1,1,7,3,10,6,6,5,1,1,1,7
259,Mokattam,35357,3,1,0,8,10,8,7,6,6,0,0,0,7
260,Shoubra,10302,3,0,1,3,10,4,1,8,7,0,0,0,4
261,New Capital,36314,4,1,0,4,5,10,7,8,5,0,1,0,10
262,Mohandeseen,8747,1,1,1,10,3,4,3,9,8,0,0,0,7
263,Dokki,45170,2,0,0,2,8,9,7,10,3,0,1,0,6
264,New Cairo,14686,2,0,0,9,3,8,10,7,9,0,1,1,4
265,Helwan,41449,2,0,0,2,8,4,10,4,5,1,0,0,7
266,Zamalek,22891,3,1,0,4,10,6,9,7,7,0,1,0,7
267,Shoubra,40196,1,1,0,7,3,8,6,9,2,0,1,0,6
268,El Shorouk,33928,2,1,0,9,8,4,8,5,3,0,1,0,10
269,Faisal,11494,5,0,0,8,7,3,9,6,5,0,0,0,4
270,Mokattam,40723,4,0,0,4,7,10,7,9,10,0,1,0,8
271,Heliopolis,33877,4,1,0,7,3,3,9,10,2,0,1,0,7
272,Heliopolis,31981,2,0,0,2,5,4,10,3,2,0,1,0,8

273,El Obour,18026,3,1,0,9,4,2,4,7,8,1,1,0,6
274,Faisal,24422,4,0,0,10,8,2,9,4,9,1,1,0,5
275,Mohandeseen,13244,4,0,0,10,10,2,9,4,8,1,1,0,5
276,Maadi,37481,4,1,0,5,4,4,2,6,4,1,0,0,7
277,Zamalek,27644,4,1,0,5,6,7,9,7,9,0,1,0,7
278,Downtown Cairo,47848,2,0,1,8,9,4,3,9,9,0,0,1,10
279,Zamalek,12521,1,1,0,8,6,5,7,7,6,0,0,0,6
280,Nasr City,5746,1,0,0,7,10,3,3,8,9,0,1,1,4
281,Shoubra,21591,3,1,0,8,5,8,5,5,3,1,0,0,10
282,Faisal,30718,5,1,0,2,9,5,2,8,10,1,1,0,7
283,Sheikh Zayed,6696,1,0,1,10,9,2,9,9,6,0,1,0,10
284,New Cairo,16012,5,0,1,7,3,5,8,7,4,1,1,0,9
285,Helwan,18688,1,0,1,9,8,5,3,8,7,0,0,0,5
286,Helwan,27457,1,1,1,6,7,4,10,5,7,1,1,1,6
287,El Shorouk,9036,3,1,0,8,6,9,4,4,4,0,1,0,9
288,Mokattam,43895,4,0,0,4,9,8,10,7,8,0,0,0,10
289,Heliopolis,33960,3,0,0,2,9,4,6,8,9,1,1,0,4
290,New Cairo,40486,1,1,1,8,3,5,10,8,3,1,1,0,6
291,6th of October,26159,4,1,0,6,10,9,3,6,2,0,1,0,9
292,Nasr City,11910,4,1,0,2,4,4,3,5,10,0,0,0,7
293,Helwan,6693,4,1,0,10,10,6,9,10,3,0,1,1,10
294,Mokattam,19858,5,0,0,10,5,6,10,5,9,1,0,0,5
295,New Cairo,32810,1,1,0,7,10,6,7,6,3,0,1,1,10
296,Zamalek,24092,2,1,0,10,7,6,4,3,4,1,0,0,6
297,New Capital,27243,3,0,0,8,10,10,10,10,6,1,1,0,5
298,Zamalek,34505,5,1,0,9,7,6,8,6,3,1,1,0,10
299,New Cairo,11692,3,1,0,3,10,10,7,5,10,1,1,1,7
300,Haram,32555,2,1,0,3,6,10,6,6,4,0,0,0,10
301,Madinaty,10398,4,0,0,5,3,5,9,5,8,0,1,0,6
302,New Cairo,11252,2,1,0,2,7,10,10,8,3,0,1,1,4
303,Mohandeseen,15721,3,1,1,9,4,3,10,3,3,0,0,0,7
304,Mokattam,21939,2,1,0,6,4,4,1,7,8,0,1,1,5
305,Haram,15825,1,1,0,8,10,2,7,9,2,0,0,1,7
306,Downtown Cairo,29251,2,1,0,3,5,8,10,4,4,1,1,0,10
307,Maadi,40955,1,1,0,6,5,10,1,3,3,0,0,0,4
308,Madinaty,28151,2,0,1,10,4,4,9,7,5,1,1,0,9
309,Maadi,4036,1,1,0,10,4,9,9,8,5,0,1,0,8
310,Helwan,32412,1,1,1,3,10,2,6,6,2,1,1,1,8
311,Mohandeseen,22171,2,1,0,3,3,7,8,9,6,0,1,0,7
312,Zamalek,43051,5,0,0,6,7,7,9,5,8,0,0,0,6
313,6th of October,36761,4,1,1,4,3,6,7,10,10,1,1,0,8
314,Al Rehab,19202,4,0,0,2,5,5,7,9,5,1,1,0,10
315,Shoubra,12060,4,0,0,2,5,4,4,8,7,0,1,0,7
316,Dokki,12065,1,0,1,6,5,5,5,8,10,0,1,0,9
317,Madinaty,33873,4,1,0,4,9,8,10,3,2,0,1,1,7
318,New Cairo,40648,1,0,0,10,7,8,8,6,2,1,1,0,4
319,Haram,9932,5,1,0,4,6,4,8,8,9,0,1,0,4
320,El Obour,30470,2,0,1,4,10,4,7,9,10,0,0,0,7
321,Dokki,12328,2,1,1,4,5,4,4,7,2,1,1,1,4
322,Sheikh Zayed,10333,1,1,0,2,5,6,10,8,8,0,1,1,4
323,El Obour,15268,1,1,1,4,3,2,1,10,6,0,1,0,6
324,New Capital,9067,5,1,0,6,3,8,7,4,9,1,1,0,6
325,Zamalek,48843,4,1,0,9,6,9,7,3,7,0,1,1,7
326,Mohandeseen,21045,5,1,0,8,8,8,8,9,5,0,1,0,9
327,Mokattam,44741,2,1,1,5,6,9,7,10,4,0,1,0,5
328,Shoubra,26770,2,1,1,5,6,10,4,9,4,0,1,1,9
329,Mokattam,46770,4,1,0,5,6,5,7,4,2,0,1,1,6
330,El Shorouk,11887,2,0,0,9,3,4,6,6,3,1,1,0,4
331,Faisal,37182,1,1,1,9,5,8,8,7,10,0,1,1,6
332,Downtown Cairo,36370,2,1,1,3,3,10,9,8,6,0,1,1,6
333,Maadi,43618,3,0,0,8,9,10,1,3,8,0,1,0,5
334,Maadi,28918,4,1,0,6,4,9,2,8,5,1,1,0,5
335,Faisal,39497,4,1,1,3,4,4,8,9,3,0,1,0,9
336,Helwan,32026,4,1,1,4,8,7,7,7,6,0,1,0,6
337,New Capital,15929,3,0,1,8,5,3,9,5,10,0,1,1,4
338,Madinaty,40665,5,1,0,7,6,7,9,9,10,1,1,0,9
339,Heliopolis,38937,1,1,1,7,5,6,7,7,9,0,0,0,10
340,Downtown Cairo,17563,4,0,1,8,4,5,4,10,6,1,1,0,8
341,Al Rehab,32546,2,1,0,7,10,4,8,7,8,1,1,1,5
342,Nasr City,16888,1,1,1,3,8,9,10,8,2,0,0,0,9
343,Zamalek,41338,2,1,1,9,5,7,2,7,5,0,1,0,9
344,Mohandeseen,38283,1,1,0,8,6,10,1,8,8,0,1,0,7
345,El Shorouk,20958,1,1,0,7,9,4,8,3,4,1,1,0,6
346,El Shorouk,16634,2,1,0,6,9,6,5,9,5,0,0,1,4
347,Nasr City,23251,2,1,0,7,9,5,10,3,2,0,1,0,10
348,Dokki,23928,1,1,0,4,10,7,4,10,9,0,0,0,9
349,Sheikh Zayed,41245,4,1,0,3,8,3,7,3,3,0,1,1,7
350,Heliopolis,20455,2,1,1,10,8,7,5,4,2,0,1,0,10
351,El Obour,31144,3,1,0,2,10,4,10,8,4,0,1,0,6
352,New Capital,32013,3,0,1,3,3,9,9,10,4,0,1,1,4
353,Downtown Cairo,25876,1,1,0,2,6,7,9,6,8,0,1,0,10
354,New Cairo,30962,5,0,0,9,3,9,9,9,3,1,1,1,5
355,Mohandeseen,32084,1,0,0,5,9,8,7,6,8,1,0,0,7
356,New Capital,46319,1,1,0,7,4,7,10,7,2,1,1,0,10
357,Shoubra,25143,4,1,0,6,9,10,5,4,5,0,1,0,4
358,El Obour,30091,4,1,0,9,7,10,7,6,9,0,1,1,4
359,Haram,18179,5,1,1,8,10,5,8,10,8,0,0,0,4
360,Madinaty,36807,5,0,1,2,5,9,7,3,6,1,1,1,6
361,Faisal,14222,5,1,1,9,10,4,8,5,8,0,0,0,7
362,Helwan,27949,5,1,1,5,10,6,7,8,10,1,1,0,9
363,Faisal,20116,5,1,0,8,7,4,3,5,2,0,1,1,6
364,Nasr City,41564,1,0,0,4,6,5,8,6,3,0,1,0,7
365,6th of October,41374,1,1,0,3,3,6,4,4,2,0,1,0,8
366,El Shorouk,21667,3,1,1,2,10,9,2,6,6,0,0,0,6
367,Zamalek,12775,3,1,0,6,6,9,9,3,4,1,1,0,7
368,Zamalek,33655,2,0,0,4,6,4,8,4,2,1,0,1,5
